iter	Passed	Remaining
0	2533	2531289
1	4849	2419852
2	7169	2382540
3	9410	2343163
4	11705	2329438
5	14152	2344614
6	16502	2341024
7	18866	2339412
8	21296	2345012
9	23687	2345065
10	25925	2330947
11	28090	2312749
12	30258	2297298
13	32453	2285622
14	34739	2281216
15	36884	2268366
16	39166	2264717
17	41492	2263657
18	43735	2258131
19	45833	2245851
20	48110	2242857
21	50403	2240677
22	52661	2236978
23	54961	2235111
24	57282	2234026
25	59896	2243807
26	62433	2249906
27	64880	2252273
28	67364	2255536
29	69852	2258550
30	72117	2254251
31	74471	2252757
32	76801	2250510
33	79121	2247982
34	81401	2244367
35	83710	2241586
36	86025	2238981
37	88193	2232695
38	90275	2224486
39	92412	2217897
40	94761	2216505
41	97089	2214570
42	99324	2210543
43	101546	2206323
44	103730	2201398
45	106201	2202529
46	108522	2200465
47	110674	2195045
48	113009	2193298
49	115187	2188557
50	117429	2185105
51	119764	2183407
52	122312	2185470
53	124595	2182724
54	126751	2177815
55	128976	2174173
56	131233	2171100
57	133340	2165629
58	135567	2162187
59	137742	2157972
60	140101	2156651
61	142399	2154364
62	144730	2152581
63	146968	2149407
64	149174	2145822
65	151549	2144653
66	153931	2143556
67	156180	2140585
68	158494	2138532
69	160715	2135216
70	163012	2132933
71	165398	2131799
72	167590	2128167
73	169829	2125166
74	171892	2120011
75	174148	2117278
76	176413	2114671
77	178712	2112478
78	180895	2108922
79	183108	2105743
80	185453	2104092
81	187887	2103421
82	190146	2100778
83	192266	2096625
84	194477	2093491
85	196685	2090357
86	198956	2087903
87	201193	2085094
88	203431	2082315
89	205779	2080659
90	208022	2077934
91	210419	2076748
92	212586	2073292
93	214800	2070312
94	216982	2067047
95	219361	2065656
96	221702	2063891
97	223993	2061652
98	226076	2057528
99	228521	2056695
100	230856	2054851
101	232924	2050651
102	235154	2047899
103	237523	2046359
104	239829	2044264
105	242050	2041447
106	244189	2037951
107	246667	2037291
108	248940	2034919
109	251067	2031365
110	253524	2030482
111	255764	2027844
112	258082	2025832
113	260274	2022834
114	262494	2020063
115	264606	2016487
116	266808	2013602
117	269070	2011185
118	271172	2007590
119	273487	2005577
